training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.4932587,-6.0220976,116.25482,360.7912,1.7046106,-9.932027,0.14852832,1.0,93.23201,0.21768677,-7.7454767,0.0984922,1.0,0.13557376,-14.024622,-25.44652,0.31553298,355.8832,1.7611134,-9.941786,0.15048026,1.0,107.64471,0.20141792,-7.752022,0.10012847,1.0,0.14016527,-14.056863,-25.424992,0.3578884,0.1602798837661743,801.3994250297546,5000
12.572806,-13.548792,183.84361,457.5668,2.6783748,-9.8468895,0.13150078,1.0,187.48178,0.38093883,-7.691745,0.08505906,1.0,0.11831665,-22.1903,-42.310627,0.7848074,443.26212,2.713264,-9.835949,0.12931268,1.0,182.5903,0.390423,-7.689777,0.084567174,1.0,0.12203094,-23.090168,-42.357044,0.59097,0.1704245047569275,1653.521961927414,10000
30.802158,-52.388912,403.27863,565.61414,3.2208047,-9.84868,0.13185881,1.0,171.71704,0.31179017,-7.6477375,0.074057356,1.0,0.17041138,-26.180933,-55.521492,1.3341131,523.1654,3.133664,-9.862434,0.1346098,1.0,198.05676,0.3769337,-7.6879716,0.08411586,1.0,0.114511624,-26.002432,-55.51783,0.73795176,0.1695806394100189,2501.4251749515533,15000
14.671875,-17.472656,206.1465,566.61597,3.1176152,-9.75201,0.11252516,1.0,193.46556,0.35602438,-7.6344666,0.0707397,1.0,0.13273998,-29.19056,-65.64684,0.8694924,589.84155,3.3765683,-9.734028,0.10892836,1.0,184.79749,0.40092498,-7.657036,0.07638187,1.0,0.1012936,-28.77029,-65.61212,0.9187734,0.1502711088180542,3252.7807290554047,20000
9.153112,-14.296346,227.03473,580.08344,3.5774221,-9.680355,0.09819382,1.0,170.33594,0.38759762,-7.5962167,0.06117715,1.0,0.12078086,-30.680212,-73.52131,0.8665247,607.7831,3.7331696,-9.673873,0.096897386,1.0,185.26758,0.39558733,-7.6464806,0.073743105,1.0,0.10284694,-31.283937,-73.364746,1.0061568,0.1632705768108368,4069.133656024933,25000
